Region,Province,Municipality,Date,Tmin,Tmax,Relative_Humidity,Rainfall,Dew_Point,Solar_Radiation,Rice_Growth_Stage,BPH_Hoppers_per_Hill,RSB_Dead_Hearts_Pct,RSB_White_Ears_Pct
III,Pampanga,Arayat,2019-03-05,22.9,30.1,66.2,0.0,19.7,213.6,Flowering,1,0.094,0.35
III,Pampanga,Arayat,2019-03-06,23.5,32.0,67.5,0.0,21.2,216.8,Flowering,0,0.108,2.19
III,Pampanga,Arayat,2019-03-07,23.1,30.9,67.6,0.0,20.5,238.3,Flowering,1,0.122,1.07
III,Pampanga,Arayat,2019-03-08,23.1,29.9,68.3,0.0,20.2,234.8,Flowering,2,0.136,0.0
III,Pampanga,Arayat,2019-03-09,22.1,29.6,66.4,0.0,19.1,222.0,Ripening,0,0.15,1.35
III,Pampanga,Arayat,2019-03-10,23.4,30.7,66.3,0.0,20.3,221.0,Ripening,2,0.11,0.0
III,Pampanga,Arayat,2019-03-11,23.1,31.7,68.0,0.0,21.0,208.2,Ripening,0,0.19,0.0
III,Pampanga,Arayat,2019-03-12,22.7,30.8,68.7,0.0,20.5,205.9,Ripening,0,0.05,0.0
III,Pampanga,Arayat,2019-03-13,22.8,31.0,69.9,0.0,20.9,213.9,Ripening,1,0.06,1.21
III,Pampanga,Arayat,2019-03-14,23.1,32.3,68.4,0.0,21.4,215.5,Ripening,0,0.0,0.31
III,Pampanga,Arayat,2019-03-15,23.1,31.7,70.5,0.0,21.5,217.1,Ripening,2,0.18,0.78
III,Pampanga,Arayat,2019-03-16,22.4,31.7,75.6,21.1,22.2,218.7,Ripening,0,0.13,0.0
III,Pampanga,Arayat,2019-03-17,23.1,31.9,75.8,1.9,22.7,220.3,Ripening,1,0.11,1.1
III,Pampanga,Arayat,2019-03-18,23.8,32.7,75.1,0.0,23.3,221.9,Ripening,1,0.1,0.0
III,Pampanga,Arayat,2019-03-19,23.8,32.6,74.3,0.0,23.1,223.5,Ripening,0,0.1,0.0
III,Pampanga,Arayat,2019-03-20,24.3,32.9,74.3,0.0,23.5,227.6,Ripening,0,0.09,0.0
III,Pampanga,Arayat,2019-03-21,23.9,32.5,73.9,0.0,23.0,216.0,Ripening,0,0.11,0.45
III,Pampanga,Arayat,2019-03-22,23.3,33.3,79.3,5.1,24.2,222.7,Ripening,0,0.09,1.34
III,Pampanga,Arayat,2019-03-23,22.9,31.5,74.9,4.1,22.2,214.7,Ripening,2,0.18,1.38
III,Pampanga,Arayat,2019-03-24,23.3,30.9,71.4,0.0,21.4,205.9,Ripening,4,0.0,1.93
III,Pampanga,Arayat,2019-03-25,23.6,32.2,69.0,0.32,21.7,222.9,Ripening,1,0.07,0.59
III,Pampanga,Arayat,2019-03-26,23.0,33.6,67.0,0.64,21.7,206.2,Ripening,8,0.08,1.51
III,Pampanga,Arayat,2019-03-27,22.6,32.8,70.5,0.96,21.8,213.2,Ripening,5,0.15,3.01
III,Pampanga,Arayat,2019-03-28,22.4,33.6,71.4,1.28,22.3,221.2,Ripening,2,0.08,3.93
III,Pampanga,Arayat,2019-03-29,22.8,32.6,77.9,1.6,23.3,219.1,Ripening,6,0.12,3.83
III,Pampanga,Arayat,2019-03-30,22.6,32.5,76.73333333333333,10.5,23.5,204.5,Ripening,8,0.15,3.68
III,Pampanga,Arayat,2019-03-31,23.3,32.4,75.56666666666668,0.0,23.0,214.6,Ripening,10,0.16,4.41
III,Pampanga,Arayat,2019-04-01,22.4,32.5,74.4,0.0,22.0,217.5,Ripening,8,0.09,2.86
III,Pampanga,Arayat,2019-04-02,22.3,33.6,73.23333333333333,0.0,22.3,207.5,Ripening,4,0.03,3.9
III,Pampanga,Arayat,2019-04-03,23.5,33.8,72.06666666666668,0.0,23.5,205.6,Ripening,11,0.06,4.68
III,Pampanga,Arayat,2019-04-04,21.6,31.1,70.9,0.0,20.5,222.5,Ripening,0,0.06,0.13
III,Pampanga,Arayat,2019-04-05,21.7,31.7,74.0,0.0,21.5,224.7,Ripening,0,0.1,0.0
III,Pampanga,Arayat,2019-04-06,22.3,32.0,72.4,0.0,21.6,227.89999999999998,Ripening,0,0.23,0.19
III,Pampanga,Arayat,2019-04-07,22.1,30.7,77.4,2.1,21.9,231.1,Ripening,0,0.05,0.01
III,Pampanga,Arayat,2019-04-08,22.8,30.6,74.6,0.0,21.6,234.3,Ripening,0,0.08,0.0
III,Pampanga,Arayat,2019-04-09,22.1,30.4,78.3,21.3,21.9,237.5,Ripening,0,0.0,0.03
III,Pampanga,Arayat,2019-04-10,22.9,30.2,78.7,33.2,22.3,240.7,Ripening,0,0.02,0.08
III,Pampanga,Arayat,2019-04-11,23.4,30.2,74.2,0.0,21.6,243.9,Ripening,0,0.0,0.07
III,Pampanga,Arayat,2019-04-12,23.2,30.0,76.9,0.0,22.0,220.1,Ripening,0,0.04,0.13
III,Pampanga,Arayat,2019-04-13,22.6,30.2,80.6,8.1,22.5,217.0,Ripening,0,0.0,0.04
III,Pampanga,Arayat,2019-04-14,22.5,30.0,75.3,0.0,21.3,216.65,Ripening,0,0.04,0.0
III,Pampanga,Arayat,2019-04-15,21.8,29.5,74.1,0.0,20.5,216.3,Ripening,0,0.16,0.14
III,Pampanga,Arayat,2019-04-16,22.2,29.8,72.1,0.0,20.4,215.95,Ripening,0,0.08,0.07
III,Pampanga,Arayat,2019-04-17,22.4,31.5,78.2,1.3,22.6,215.6,Ripening,0,0.11,0.01
III,Pampanga,Arayat,2019-04-18,22.1,32.1,76.2,0.0,22.3,224.4,Ripening,0,0.0,0.21
III,Pampanga,Arayat,2019-04-19,21.8,32.7,82.1,3.8,23.7,217.4,Ripening,0,0.15,0.09
III,Pampanga,Arayat,2019-04-20,23.6,32.1,77.6,0.0,23.4,221.3,Ripening,1,0.1,0.1
III,Pampanga,Arayat,2019-04-21,23.8,33.8,75.0,0.0,23.8,210.3,Ripening,0,0.02,0.09
III,Pampanga,Arayat,2019-04-22,23.0,32.9,78.3,5.7,23.6,216.6,Ripening,0,0.21,0.0
III,Pampanga,Arayat,2019-04-23,22.4,33.4,75.3,0.0,23.0,210.8,Ripening,0,0.17,0.08
III,Pampanga,Arayat,2019-04-24,22.5,31.5,77.4,10.3,22.5,214.4,Ripening,0,0.24,0.06
III,Pampanga,Arayat,2019-04-25,21.7,32.2,75.6,0.0,22.1,222.6,Ripening,0,0.15,0.1
III,Pampanga,Arayat,2019-04-26,22.4,31.6,74.5,0.0,21.9,210.3,Ripening,0,0.22,0.0
III,Pampanga,Arayat,2019-04-27,22.5,31.2,77.0,3.9,22.2,208.9,Ripening,0,0.03,0.14
III,Pampanga,Arayat,2019-04-28,23.9,31.4,72.2,0.0,22.1,223.3,Ripening,0,0.2,0.01
III,Pampanga,Arayat,2019-04-29,23.3,32.2,72.4,0.0,22.2,215.0,Ripening,0,0.05,0.09
III,Pampanga,Arayat,2019-04-30,22.3,32.6,75.3,0.0,22.5,228.4,Ripening,0,0.2,0.0
III,Pampanga,Arayat,2019-05-01,22.7,32.3,74.7,0.0,22.5,223.9,Ripening,0,0.11,0.0
III,Pampanga,Arayat,2019-05-02,23.6,32.5,74.1,0.0,23.0,216.7,Ripening,0,0.04,0.25
III,Pampanga,Arayat,2019-05-03,24.1,32.3,73.5,0.0,22.9,219.5,Ripening,1,0.03,0.0
III,Pampanga,Arayat,2019-05-04,23.7,32.7,71.8,0.0,22.6,206.0,Seedling,0,0.12,0.01
III,Pampanga,Arayat,2019-05-05,23.3,30.4,75.8,14.0,22.0,216.6,Seedling,0,0.0,0.11
III,Pampanga,Arayat,2019-05-06,24.0,32.1,74.5,0.0,23.0,216.4,Seedling,0,0.0,0.1
III,Pampanga,Arayat,2019-05-07,23.7,31.4,73.5,0.0,22.2,211.8,Seedling,0,0.01,0.09
III,Pampanga,Arayat,2019-05-08,22.4,31.6,73.0,0.0,21.6,221.6,Seedling,0,0.0,0.08
III,Pampanga,Arayat,2019-05-09,23.2,31.2,81.0,9.8,23.4,207.9,Seedling,0,0.15,0.07
III,Pampanga,Arayat,2019-05-10,23.4,32.9,73.4,0.0,22.8,211.4,Seedling,0,0.21,0.0825
III,Pampanga,Arayat,2019-05-11,22.3,34.3,77.1,9.5,23.7,204.4,Seedling,0,0.13,0.095
III,Pampanga,Arayat,2019-05-12,21.9,34.1,73.7,0.0,22.7,212.4,Seedling,0,0.0,0.1075
III,Pampanga,Arayat,2019-05-13,22.4,32.9,75.5,0.0,22.8,212.5,Seedling,0,0.06,0.12
III,Pampanga,Arayat,2019-05-14,22.2,33.2,74.9,0.0,22.7,213.5,Seedling,0,0.0,0.04
III,Pampanga,Arayat,2019-05-15,22.4,32.9,73.7,0.0,22.4,201.9,Seedling,0,0.14,0.0
III,Pampanga,Arayat,2019-05-16,22.8,30.4,78.8,14.8,22.4,208.1,Seedling,0,0.04,0.02
III,Pampanga,Arayat,2019-05-17,22.5,33.0,74.5,2.3,22.6,198.6,Seedling,0,0.01,0.0
III,Pampanga,Arayat,2019-05-18,23.6,32.8,76.4,26.8,23.5,187.9,Seedling,0,0.01,0.17
III,Pampanga,Arayat,2019-05-19,25.2,32.8,74.8,0.0,24.0,204.8,Seedling,0,0.08,0.16
III,Pampanga,Arayat,2019-05-20,24.4,32.3,78.2,21.5,24.0,183.2,Seedling,0,0.04,0.16
III,Pampanga,Arayat,2019-05-21,24.8,32.9,77.0,7.2,24.2,213.2,Seedling,0,0.06,0.18
III,Pampanga,Arayat,2019-05-22,24.5,33.9,74.2,0.0,24.0,204.6,Seedling,0,0.12,0.11
III,Pampanga,Arayat,2019-05-23,23.1,33.6,77.7,0.0,23.9,210.1,Seedling,0,0.0,0.16
III,Pampanga,Arayat,2019-05-24,23.7,33.1,81.5,14.5,24.7,200.1,Seedling,0,0.09,0.23
III,Pampanga,Arayat,2019-05-25,22.5,34.5,71.9,0.0,22.9,207.5,Seedling,0,0.18,0.19
III,Pampanga,Arayat,2019-05-26,23.2,34.2,72.8,0.0,22.849999999999998,217.1,Seedling,0,0.18,0.08
III,Pampanga,Arayat,2019-05-27,23.6,34.0,77.7,0.0,22.799999999999997,192.4,Seedling,0,0.15,0.18
III,Pampanga,Arayat,2019-05-28,23.1,32.9,80.9,14.8,22.75,210.9,Seedling,0,0.11,0.0
III,Pampanga,Arayat,2019-05-29,22.5,32.5,76.0,0.0,22.7,215.2,Seedling,0,0.17,0.0
III,Pampanga,Arayat,2019-05-30,22.8,32.6,76.7,0.0,23.0,202.8,Seedling,0,0.0,0.0
III,Pampanga,Arayat,2019-05-31,22.9,31.9,77.3,0.0,22.9,202.1,Seedling,0,0.05,0.17
III,Pampanga,Arayat,2019-06-01,23.0,31.2,77.8,0.0,22.7,205.3,Seedling,0,0.1,0.14
III,Pampanga,Arayat,2019-06-02,23.1,30.7,85.3,2.2,24.0,207.6,Seedling,0,0.11,0.2
III,Pampanga,Arayat,2019-06-03,23.7,29.6,82.9,0.0,23.9,208.0,Seedling,10,2.08,0.09
III,Pampanga,Arayat,2019-06-04,23.5,31.4,83.2,0.0,23.8,201.5,Seedling,3,1.96,0.14
III,Pampanga,Arayat,2019-06-05,23.3,31.9,79.5,0.0,23.7,206.2,Seedling,9,0.0,0.12
III,Pampanga,Arayat,2019-06-06,23.2,31.4,79.8,0.0,23.599999999999998,196.6,Seedling,6,0.03,0.04
III,Pampanga,Arayat,2019-06-07,23.2,30.7,83.3,5.9,23.5,204.2,Seedling,11,0.89,0.19
III,Pampanga,Arayat,2019-06-08,24.1,29.5,83.1,3.5,23.4,209.3,Seedling,11,0.0,0.08
III,Pampanga,Arayat,2019-06-09,23.5,32.6,80.7,6.125,24.2,212.1,Seedling,14,0.79,0.01
III,Pampanga,Arayat,2019-06-10,23.1,32.1,82.9,8.75,24.2,201.3,Seedling,15,0.67,0.0
III,Pampanga,Arayat,2019-06-11,23.8,32.4,83.4,11.375,24.8,207.7,Seedling,12,1.02,0.2
III,Pampanga,Arayat,2019-06-12,24.1,32.0,85.3,14.0,25.1,200.4,Seedling,13,0.5,0.2
III,Pampanga,Arayat,2019-06-13,24.4,32.5,80.6,0.0,24.6,202.0,Seedling,25,0.21,0.1
III,Pampanga,Arayat,2019-06-14,23.1,33.8,80.0,0.0,24.4,208.9,Seedling,23,0.23,0.02
III,Pampanga,Arayat,2019-06-15,22.9,33.5,81.9,17.2,24.6,194.3,Seedling,23,0.68,0.1
III,Pampanga,Arayat,2019-06-16,22.1,31.7,78.6,12.1,22.6,193.8,Seedling,18,0.0,0.05
III,Pampanga,Arayat,2019-06-17,22.3,32.2,75.9,0.0,22.4,212.0,Seedling,15,0.69,0.01
III,Pampanga,Arayat,2019-06-18,22.8,31.1,77.5,0.0,22.5,199.4,Tillering,37,0.69,0.09
III,Pampanga,Arayat,2019-06-19,24.2,32.5,79.7,0.0,24.3,209.8,Tillering,31,0.28,0.28
III,Pampanga,Arayat,2019-06-20,23.9,31.8,78.6,0.0,23.6,202.8,Tillering,30,0.39,0.05
III,Pampanga,Arayat,2019-06-21,24.2,32.0,78.7,0.0,23.8,200.0,Tillering,22,0.51,0.13
III,Pampanga,Arayat,2019-06-22,24.0,32.9,77.8,0.0,24.0,221.1,Tillering,27,0.41,0.14
III,Pampanga,Arayat,2019-06-23,23.3,32.9,77.2,0.0,23.5,213.6,Tillering,19,0.51,0.06
III,Pampanga,Arayat,2019-06-24,23.4,33.8,79.3,10.7,24.5,198.4,Tillering,16,0.81,0.08
III,Pampanga,Arayat,2019-06-25,22.7,32.0,76.2,74.1,22.6,156.2,Tillering,21,0.32,0.04
III,Pampanga,Arayat,2019-06-26,24.0,31.9,75.6,1.6,23.1,209.3,Tillering,7,0.0,0.0
III,Pampanga,Arayat,2019-06-27,22.8,30.6,78.0,25.6,22.3,182.6,Tillering,8,0.82,0.15
III,Pampanga,Arayat,2019-06-28,21.9,30.6,79.0,21.3,22.0,193.1,Tillering,4,0.04,0.15
III,Pampanga,Arayat,2019-06-29,23.4,30.3,75.7,0.0,22.0,202.0,Tillering,4,0.35,0.0
III,Pampanga,Arayat,2019-06-30,24.3,32.0,81.8,3.1,24.5,207.2,Tillering,3,0.35,0.0016666666666666668
III,Pampanga,Arayat,2019-07-01,23.9,31.8,76.3,0.0,23.1,209.9,Tillering,1,0.58,0.0033333333333333335
III,Pampanga,Arayat,2019-07-02,23.6,32.5,80.7,9.1,24.2,203.5,Tillering,2,0.0,0.005
III,Pampanga,Arayat,2019-07-03,24.2,33.3,80.6,6.8,24.9,199.0,Tillering,3,1.45,0.006666666666666667
III,Pampanga,Arayat,2019-07-04,24.9,34.1,80.8,6.2,25.7,206.0,Tillering,4,0.21,0.008333333333333333
III,Pampanga,Arayat,2019-07-05,23.4,35.0,79.9,2.5,25.2,209.7,Tillering,2,0.6,0.01
III,Pampanga,Arayat,2019-07-06,22.6,35.3,76.0,0.0,24.2,198.2,Tillering,2,0.27,0.0
III,Pampanga,Arayat,2019-07-07,23.4,34.4,76.3,0.0,24.2,213.8,Tillering,1,0.26,0.16
III,Pampanga,Arayat,2019-07-08,23.4,32.5,81.5,1.0,24.2,188.9,Tillering,2,0.62,0.11
III,Pampanga,Arayat,2019-07-09,22.7,33.5,78.5,0.0,23.8,205.7,Tillering,2,1.37,0.03
III,Pampanga,Arayat,2019-07-10,23.3,32.0,76.8,0.0,23.0,188.9,Tillering,4,1.47,0.04666666666666666
III,Pampanga,Arayat,2019-07-11,23.6,32.3,76.1,0.0,23.2,206.0,Tillering,1,0.51,0.06333333333333332
III,Pampanga,Arayat,2019-07-12,24.8,34.1,76.7,0.8,24.8,210.1,Elongation,2,3.71,0.08
III,Pampanga,Arayat,2019-07-13,23.9,31.2,82.3,28.4,24.0,188.2,Elongation,3,3.28,0.09666666666666666
III,Pampanga,Arayat,2019-07-14,24.8,31.8,78.0,0.0,23.9,197.1,Elongation,4,4.39,0.11333333333333333
III,Pampanga,Arayat,2019-07-15,25.1,30.9,85.2,11.1,25.0,191.8,Elongation,4,3.99,0.13
III,Pampanga,Arayat,2019-07-16,25.5,30.6,82.5,3.0,24.6,185.4,Elongation,5,3.51,0.1
III,Pampanga,Arayat,2019-07-17,24.5,31.2,75.5,0.4,23.0,195.1,Elongation,0,3.04,0.0
III,Pampanga,Arayat,2019-07-18,25.0,31.4,78.0,5.8,23.8,186.8,Elongation,2,1.61,0.0
III,Pampanga,Arayat,2019-07-19,24.7,31.8,80.0,7.6,24.2,196.8,Elongation,3,0.69,0.06
III,Pampanga,Arayat,2019-07-20,23.9,31.1,80.2,17.5,23.5,191.3,Elongation,1,1.1,0.04
III,Pampanga,Arayat,2019-07-21,24.5,32.3,79.5,0.0,24.3,193.5,Elongation,1,0.29,0.06
III,Pampanga,Arayat,2019-07-22,24.7,32.6,79.8,0.0,24.6,203.4,Elongation,3,0.0,0.22
III,Pampanga,Arayat,2019-07-23,22.4,30.9,84.7,7.0,23.6,198.5,Elongation,2,0.94,0.09
III,Pampanga,Arayat,2019-07-24,22.8,31.4,77.7,0.0,22.6,192.7,Elongation,5,0.36,0.1
III,Pampanga,Arayat,2019-07-25,24.2,31.3,79.5,0.0,23.6,196.7,Elongation,4,0.75,0.08
III,Pampanga,Arayat,2019-07-26,24.4,30.9,81.6,28.4,24.0,181.1,Elongation,6,1.3,0.13
III,Pampanga,Arayat,2019-07-27,25.1,31.7,87.0,2.7,25.8,202.4,Elongation,10,0.16,0.04
III,Pampanga,Arayat,2019-07-28,24.7,34.0,81.5,0.0,25.6,188.2,Elongation,9,0.77,0.06
III,Pampanga,Arayat,2019-07-29,24.3,34.5,89.0,8.4,27.2,187.1,Elongation,9,0.0,0.15
III,Pampanga,Arayat,2019-07-30,24.0,33.0,84.2,9.3,25.3,179.0,Elongation,7,0.13,0.16
III,Pampanga,Arayat,2019-07-31,23.7,34.5,76.4,0.0,24.4,183.0,Panicle,5,0.17,1.55
III,Pampanga,Arayat,2019-08-01,24.5,34.5,76.0,0.0,24.7,186.2,Panicle,6,0.18,3.18
III,Pampanga,Arayat,2019-08-02,24.4,34.0,76.4,0.0,24.5,213.0,Panicle,4,0.1,2.82
III,Pampanga,Arayat,2019-08-03,24.8,33.1,80.4,27.3,25.0,180.9,Panicle,7,0.19,5.37
III,Pampanga,Arayat,2019-08-04,23.6,32.9,86.6,1.8,25.6,193.7,Panicle,15,0.12,4.24
III,Pampanga,Arayat,2019-08-05,24.1,35.7,86.2,0.0,27.1,205.7,Panicle,16,0.07,5.63
III,Pampanga,Arayat,2019-08-06,23.9,35.9,88.4,8.0,27.6,186.6,Panicle,15,0.01,7.18
III,Pampanga,Arayat,2019-08-07,22.9,34.3,89.3,47.1,26.5,142.7,Panicle,21,0.0,9.6
III,Pampanga,Arayat,2019-08-08,23.5,34.7,81.3,0.0,25.4,198.0,Panicle,15,0.11,10.39
III,Pampanga,Arayat,2019-08-09,23.4,34.4,81.6,4.4,25.2,191.5,Panicle,21,0.0,12.47
III,Pampanga,Arayat,2019-08-10,21.6,33.9,76.3,0.0,23.0,197.7,Panicle,6,0.0,12.48
III,Pampanga,Arayat,2019-08-11,22.2,33.2,79.8,19.8,23.7,182.0,Panicle,13,0.09,12.25
III,Pampanga,Arayat,2019-08-12,22.7,34.5,81.5,5.7,24.9,189.4,Panicle,16,0.0,12.59
III,Pampanga,Arayat,2019-08-13,23.7,35.7,78.2,0.0,25.3,206.8,Panicle,8,0.1,12.58
III,Pampanga,Arayat,2019-08-14,23.5,33.4,82.0,27.5,24.8,172.2,Panicle,13,0.06,14.42
III,Pampanga,Arayat,2019-08-15,24.7,32.7,84.5,19.4,25.6,183.3,Flowering,10,0.22,6.73
III,Pampanga,Arayat,2019-08-16,23.1,30.8,86.6,43.9,24.3,171.2,Flowering,18,0.06,6.93
III,Pampanga,Arayat,2019-08-17,23.2,33.7,84.8,0.0,25.4,188.3,Flowering,15,0.12,5.29
III,Pampanga,Arayat,2019-08-18,24.1,32.5,91.8,2.9,26.7,189.4,Flowering,19,0.07,5.45
III,Pampanga,Arayat,2019-08-19,24.3,33.1,88.9,0.0,26.5,188.1,Flowering,18,0.11,5.27
