Region,Province,Municipality,Date,Tmin,Tmax,Relative_Humidity,Rainfall,Dew_Point,Solar_Radiation
III,Pampanga,Arayat,2019-02-13,23.4,32.5,72.2,0.0,22.4,225.0
III,Pampanga,Arayat,2019-02-14,22.8,32.4,,0.0,21.6,228.6
III,Pampanga,Arayat,2019-02-15,22.7,33.3,,0.0,21.6,211.6
III,Pampanga,Arayat,2019-02-16,22.2,31.7,,0.0,20.7,227.0
III,Pampanga,Arayat,2019-02-17,21.3,31.0,,0.0,20.8,221.3
III,Pampanga,Arayat,2019-02-18,21.5,32.3,71.8,0.0,21.3,214.4
III,Pampanga,Arayat,2019-02-19,21.4,31.7,71.3,0.0,20.8,223.9
III,Pampanga,Arayat,2019-02-20,21.5,31.4,70.9,0.0,20.6,215.7
III,Pampanga,Arayat,2019-02-21,21.7,30.6,68.6,0.0,19.9,224.2
III,Pampanga,Arayat,2019-02-22,22.1,30.4,75.2,3.9,21.3,214.5
III,Pampanga,Arayat,2019-02-23,21.2,32.5,70.5,0.0,21.0,230.7
III,Pampanga,Arayat,2019-02-24,20.7,32.1,69.2,0.0,20.2,218.3
III,Pampanga,Arayat,2019-02-25,21.4,32.7,69.7,0.0,21.0,220.3
III,Pampanga,Arayat,2019-02-26,22.2,33.5,71.7,0.0,22.2,219.1
III,Pampanga,Arayat,2019-02-27,22.9,31.7,72.4,16.7,21.8,204.3
III,Pampanga,Arayat,2019-02-28,22.8,32.0,70.1,0.0,21.4,229.0
III,Pampanga,Arayat,2019-03-01,22.0,31.3,67.0,0.0,20.0,215.0
III,Pampanga,Arayat,2019-03-02,22.4,29.8,68.5,0.0,19.8,217.4
III,Pampanga,Arayat,2019-03-03,22.1,28.9,68.1,0.0,19.1,230.2
III,Pampanga,Arayat,2019-03-04,22.4,30.1,65.7,0.0,19.4,213.4
III,Pampanga,Arayat,2019-03-05,22.9,30.1,66.2,0.0,19.7,213.6
III,Pampanga,Arayat,2019-03-06,23.5,32.0,67.5,0.0,21.2,216.8
III,Pampanga,Arayat,2019-03-07,23.1,30.9,67.6,0.0,20.5,238.3
III,Pampanga,Arayat,2019-03-08,23.1,29.9,68.3,0.0,20.2,234.8
III,Pampanga,Arayat,2019-03-09,22.1,29.6,66.4,0.0,19.1,222.0
III,Pampanga,Arayat,2019-03-10,23.4,30.7,66.3,0.0,20.3,221.0
III,Pampanga,Arayat,2019-03-11,23.1,31.7,68.0,0.0,21.0,208.2
III,Pampanga,Arayat,2019-03-12,22.7,30.8,68.7,0.0,20.5,205.9
III,Pampanga,Arayat,2019-03-13,22.8,31.0,69.9,0.0,20.9,213.9
III,Pampanga,Arayat,2019-03-14,23.1,32.3,68.4,0.0,21.4,
III,Pampanga,Arayat,2019-03-15,23.1,31.7,70.5,0.0,21.5,
III,Pampanga,Arayat,2019-03-16,22.4,31.7,75.6,21.1,22.2,
III,Pampanga,Arayat,2019-03-17,23.1,31.9,75.8,1.9,22.7,
III,Pampanga,Arayat,2019-03-18,23.8,32.7,75.1,0.0,23.3,
III,Pampanga,Arayat,2019-03-19,23.8,32.6,74.3,0.0,23.1,223.5
III,Pampanga,Arayat,2019-03-20,24.3,32.9,74.3,0.0,23.5,227.6
III,Pampanga,Arayat,2019-03-21,23.9,32.5,73.9,0.0,23.0,216.0
III,Pampanga,Arayat,2019-03-22,23.3,33.3,79.3,5.1,24.2,222.7
III,Pampanga,Arayat,2019-03-23,22.9,31.5,74.9,4.1,22.2,214.7
III,Pampanga,Arayat,2019-03-24,23.3,30.9,71.4,0.0,21.4,205.9
III,Pampanga,Arayat,2019-03-25,23.6,32.2,69.0,,21.7,222.9
III,Pampanga,Arayat,2019-03-26,23.0,33.6,67.0,,21.7,206.2
III,Pampanga,Arayat,2019-03-27,22.6,32.8,70.5,,21.8,213.2
III,Pampanga,Arayat,2019-03-28,22.4,33.6,71.4,,22.3,221.2
III,Pampanga,Arayat,2019-03-29,22.8,32.6,77.9,1.6,23.3,219.1
III,Pampanga,Arayat,2019-03-30,22.6,32.5,,10.5,23.5,204.5
III,Pampanga,Arayat,2019-03-31,23.3,32.4,,0.0,23.0,214.6
III,Pampanga,Arayat,2019-04-01,22.4,32.5,,0.0,22.0,217.5
III,Pampanga,Arayat,2019-04-02,22.3,33.6,,0.0,22.3,207.5
III,Pampanga,Arayat,2019-04-03,23.5,33.8,,-2.2,23.5,205.6
III,Pampanga,Arayat,2019-04-04,21.6,31.1,70.9,0.0,20.5,222.5
III,Pampanga,Arayat,2019-04-05,21.7,31.7,74.0,0.0,21.5,224.7
III,Pampanga,Arayat,2019-04-06,22.3,32.0,72.4,0.0,21.6,
III,Pampanga,Arayat,2019-04-07,22.1,30.7,77.4,2.1,21.9,
III,Pampanga,Arayat,2019-04-08,22.8,30.6,74.6,0.0,21.6,
III,Pampanga,Arayat,2019-04-09,22.1,30.4,78.3,21.3,21.9,
III,Pampanga,Arayat,2019-04-10,22.9,30.2,78.7,33.2,22.3,
III,Pampanga,Arayat,2019-04-11,23.4,30.2,74.2,0.0,21.6,243.9
III,Pampanga,Arayat,2019-04-12,23.2,30.0,76.9,0.0,22.0,220.1
III,Pampanga,Arayat,2019-04-13,22.6,30.2,80.6,8.1,22.5,217.0
III,Pampanga,Arayat,2019-04-14,22.5,30.0,75.3,0.0,21.3,
III,Pampanga,Arayat,2019-04-15,21.8,29.5,74.1,0.0,20.5,
III,Pampanga,Arayat,2019-04-16,22.2,29.8,72.1,0.0,20.4,
III,Pampanga,Arayat,2019-04-17,22.4,31.5,78.2,1.3,22.6,215.6
III,Pampanga,Arayat,2019-04-18,22.1,32.1,76.2,0.0,22.3,224.4
III,Pampanga,Arayat,2019-04-19,21.8,32.7,82.1,3.8,23.7,217.4
III,Pampanga,Arayat,2019-04-20,23.6,32.1,77.6,0.0,23.4,221.3
III,Pampanga,Arayat,2019-04-21,23.8,33.8,75.0,0.0,23.8,210.3
III,Pampanga,Arayat,2019-04-22,23.0,32.9,78.3,5.7,23.6,216.6
III,Pampanga,Arayat,2019-04-23,22.4,33.4,75.3,0.0,23.0,210.8
III,Pampanga,Arayat,2019-04-24,22.5,31.5,77.4,10.3,22.5,214.4
III,Pampanga,Arayat,2019-04-25,21.7,32.2,75.6,0.0,22.1,222.6
III,Pampanga,Arayat,2019-04-26,22.4,31.6,74.5,0.0,21.9,210.3
III,Pampanga,Arayat,2019-04-27,22.5,31.2,77.0,3.9,22.2,208.9
III,Pampanga,Arayat,2019-04-28,23.9,31.4,72.2,0.0,22.1,223.3
III,Pampanga,Arayat,2019-04-29,23.3,32.2,72.4,0.0,22.2,215.0
III,Pampanga,Arayat,2019-04-30,22.3,32.6,75.3,0.0,22.5,228.4
III,Pampanga,Arayat,2019-05-01,22.7,32.3,,0.0,22.5,223.9
III,Pampanga,Arayat,2019-05-02,23.6,32.5,,0.0,23.0,216.7
III,Pampanga,Arayat,2019-05-03,24.1,32.3,73.5,0.0,22.9,219.5
III,Pampanga,Arayat,2019-05-04,23.7,32.7,71.8,0.0,22.6,206.0
III,Pampanga,Arayat,2019-05-05,23.3,30.4,75.8,14.0,22.0,216.6
III,Pampanga,Arayat,2019-05-06,24.0,32.1,74.5,0.0,23.0,216.4
III,Pampanga,Arayat,2019-05-07,23.7,31.4,73.5,0.0,22.2,211.8
III,Pampanga,Arayat,2019-05-08,22.4,31.6,73.0,0.0,21.6,221.6
III,Pampanga,Arayat,2019-05-09,23.2,31.2,81.0,9.8,23.4,207.9
III,Pampanga,Arayat,2019-05-10,23.4,32.9,73.4,0.0,22.8,211.4
III,Pampanga,Arayat,2019-05-11,22.3,34.3,77.1,9.5,23.7,204.4
III,Pampanga,Arayat,2019-05-12,21.9,34.1,73.7,0.0,22.7,212.4
III,Pampanga,Arayat,2019-05-13,22.4,32.9,75.5,0.0,22.8,212.5
III,Pampanga,Arayat,2019-05-14,22.2,33.2,74.9,0.0,22.7,213.5
III,Pampanga,Arayat,2019-05-15,22.4,32.9,73.7,0.0,22.4,201.9
III,Pampanga,Arayat,2019-05-16,22.8,30.4,78.8,14.8,22.4,208.1
III,Pampanga,Arayat,2019-05-17,22.5,33.0,74.5,2.3,22.6,198.6
III,Pampanga,Arayat,2019-05-18,23.6,32.8,76.4,26.8,23.5,187.9
III,Pampanga,Arayat,2019-05-19,25.2,32.8,74.8,0.0,24.0,204.8
III,Pampanga,Arayat,2019-05-20,24.4,32.3,78.2,21.5,24.0,183.2
III,Pampanga,Arayat,2019-05-21,24.8,32.9,77.0,7.2,24.2,213.2
III,Pampanga,Arayat,2019-05-22,24.5,33.9,74.2,0.0,24.0,204.6
III,Pampanga,Arayat,2019-05-23,23.1,33.6,77.7,0.0,23.9,210.1
III,Pampanga,Arayat,2019-05-24,23.7,33.1,81.5,14.5,24.7,200.1
III,Pampanga,Arayat,2019-05-25,22.5,34.5,71.9,0.0,22.9,207.5
III,Pampanga,Arayat,2019-05-26,23.2,34.2,72.8,0.0,,217.1
III,Pampanga,Arayat,2019-05-27,23.6,34.0,77.7,0.0,,192.4
III,Pampanga,Arayat,2019-05-28,23.1,32.9,80.9,14.8,,210.9
III,Pampanga,Arayat,2019-05-29,22.5,32.5,76.0,0.0,22.7,215.2
III,Pampanga,Arayat,2019-05-30,22.8,32.6,76.7,0.0,23.0,202.8
III,Pampanga,Arayat,2019-05-31,22.9,31.9,77.3,0.0,22.9,202.1
III,Pampanga,Arayat,2019-06-01,23.0,31.2,77.8,0.0,22.7,205.3
III,Pampanga,Arayat,2019-06-02,23.1,30.7,85.3,2.2,24.0,207.6
III,Pampanga,Arayat,2019-06-03,23.7,29.6,82.9,0.0,,208.0
III,Pampanga,Arayat,2019-06-04,23.5,31.4,83.2,0.0,,201.5
III,Pampanga,Arayat,2019-06-05,23.3,31.9,79.5,0.0,,206.2
III,Pampanga,Arayat,2019-06-06,23.2,31.4,79.8,0.0,,196.6
III,Pampanga,Arayat,2019-06-07,23.2,30.7,83.3,5.9,,204.2
III,Pampanga,Arayat,2019-06-08,24.1,29.5,83.1,3.5,23.4,209.3
III,Pampanga,Arayat,2019-06-09,23.5,32.6,80.7,,24.2,212.1
III,Pampanga,Arayat,2019-06-10,23.1,32.1,82.9,,24.2,201.3
III,Pampanga,Arayat,2019-06-11,23.8,32.4,83.4,,24.8,207.7
III,Pampanga,Arayat,2019-06-12,24.1,32.0,85.3,14.0,25.1,200.4
III,Pampanga,Arayat,2019-06-13,24.4,32.5,80.6,0.0,24.6,202.0
III,Pampanga,Arayat,2019-06-14,23.1,33.8,80.0,0.0,24.4,208.9
III,Pampanga,Arayat,2019-06-15,22.9,33.5,81.9,17.2,24.6,194.3
III,Pampanga,Arayat,2019-06-16,22.1,31.7,78.6,12.1,22.6,193.8
III,Pampanga,Arayat,2019-06-17,22.3,32.2,75.9,0.0,22.4,212.0
III,Pampanga,Arayat,2019-06-18,22.8,31.1,77.5,0.0,22.5,199.4
III,Pampanga,Arayat,2019-06-19,24.2,32.5,79.7,0.0,24.3,209.8
III,Pampanga,Arayat,2019-06-20,23.9,31.8,78.6,0.0,23.6,202.8
III,Pampanga,Arayat,2019-06-21,24.2,32.0,78.7,0.0,23.8,200.0
III,Pampanga,Arayat,2019-06-22,24.0,32.9,77.8,0.0,24.0,221.1
III,Pampanga,Arayat,2019-06-23,23.3,32.9,77.2,0.0,23.5,213.6
III,Pampanga,Arayat,2019-06-24,23.4,33.8,79.3,10.7,24.5,198.4
III,Pampanga,Arayat,2019-06-25,22.7,32.0,76.2,74.1,22.6,156.2
III,Pampanga,Arayat,2019-06-26,24.0,31.9,75.6,1.6,23.1,209.3
III,Pampanga,Arayat,2019-06-27,22.8,30.6,78.0,25.6,22.3,182.6
III,Pampanga,Arayat,2019-06-28,21.9,30.6,79.0,21.3,22.0,193.1
III,Pampanga,Arayat,2019-06-29,23.4,30.3,75.7,0.0,22.0,202.0
III,Pampanga,Arayat,2019-06-30,24.3,32.0,81.8,3.1,24.5,207.2
III,Pampanga,Arayat,2019-07-01,23.9,31.8,76.3,0.0,23.1,209.9
III,Pampanga,Arayat,2019-07-02,23.6,32.5,80.7,9.1,24.2,203.5
III,Pampanga,Arayat,2019-07-03,24.2,33.3,80.6,6.8,24.9,199.0
III,Pampanga,Arayat,2019-07-04,24.9,34.1,80.8,6.2,25.7,206.0
III,Pampanga,Arayat,2019-07-05,23.4,35.0,79.9,2.5,25.2,209.7
III,Pampanga,Arayat,2019-07-06,22.6,35.3,76.0,0.0,24.2,198.2
III,Pampanga,Arayat,2019-07-07,23.4,34.4,76.3,0.0,24.2,213.8
III,Pampanga,Arayat,2019-07-08,23.4,32.5,81.5,1.0,24.2,188.9
III,Pampanga,Arayat,2019-07-09,22.7,33.5,78.5,0.0,23.8,205.7
III,Pampanga,Arayat,2019-07-10,23.3,32.0,76.8,0.0,23.0,188.9
III,Pampanga,Arayat,2019-07-11,23.6,32.3,76.1,0.0,23.2,206.0
III,Pampanga,Arayat,2019-07-12,24.8,34.1,76.7,0.8,24.8,210.1
III,Pampanga,Arayat,2019-07-13,23.9,31.2,82.3,28.4,24.0,188.2
III,Pampanga,Arayat,2019-07-14,24.8,31.8,78.0,0.0,23.9,197.1
III,Pampanga,Arayat,2019-07-15,25.1,30.9,85.2,11.1,25.0,191.8
III,Pampanga,Arayat,2019-07-16,25.5,30.6,82.5,3.0,24.6,185.4
III,Pampanga,Arayat,2019-07-17,24.5,31.2,75.5,0.4,23.0,195.1
III,Pampanga,Arayat,2019-07-18,25.0,31.4,78.0,5.8,23.8,186.8
III,Pampanga,Arayat,2019-07-19,24.7,31.8,80.0,7.6,24.2,196.8
III,Pampanga,Arayat,2019-07-20,23.9,31.1,80.2,17.5,23.5,191.3
III,Pampanga,Arayat,2019-07-21,24.5,32.3,79.5,0.0,24.3,193.5
III,Pampanga,Arayat,2019-07-22,24.7,32.6,79.8,0.0,24.6,203.4
III,Pampanga,Arayat,2019-07-23,22.4,30.9,84.7,7.0,23.6,198.5
III,Pampanga,Arayat,2019-07-24,22.8,31.4,77.7,0.0,22.6,192.7
III,Pampanga,Arayat,2019-07-25,24.2,31.3,79.5,0.0,23.6,196.7
III,Pampanga,Arayat,2019-07-26,24.4,30.9,81.6,28.4,24.0,181.1
III,Pampanga,Arayat,2019-07-27,25.1,31.7,87.0,2.7,25.8,202.4
III,Pampanga,Arayat,2019-07-28,24.7,34.0,81.5,0.0,25.6,188.2
III,Pampanga,Arayat,2019-07-29,24.3,34.5,89.0,8.4,27.2,187.1
III,Pampanga,Arayat,2019-07-30,24.0,33.0,84.2,9.3,25.3,179.0
III,Pampanga,Arayat,2019-07-31,23.7,34.5,76.4,0.0,24.4,183.0
III,Pampanga,Arayat,2019-08-01,24.5,34.5,76.0,0.0,24.7,186.2
III,Pampanga,Arayat,2019-08-02,24.4,34.0,76.4,0.0,24.5,213.0
III,Pampanga,Arayat,2019-08-03,24.8,33.1,80.4,27.3,25.0,180.9
III,Pampanga,Arayat,2019-08-04,23.6,32.9,86.6,1.8,25.6,193.7
III,Pampanga,Arayat,2019-08-05,24.1,35.7,86.2,0.0,27.1,205.7
III,Pampanga,Arayat,2019-08-06,23.9,35.9,88.4,8.0,27.6,186.6
III,Pampanga,Arayat,2019-08-07,22.9,34.3,89.3,47.1,26.5,142.7
III,Pampanga,Arayat,2019-08-08,23.5,34.7,81.3,0.0,25.4,198.0
III,Pampanga,Arayat,2019-08-09,23.4,34.4,81.6,4.4,25.2,191.5
III,Pampanga,Arayat,2019-08-10,21.6,33.9,76.3,0.0,23.0,197.7
III,Pampanga,Arayat,2019-08-11,22.2,33.2,79.8,19.8,23.7,182.0
III,Pampanga,Arayat,2019-08-12,22.7,34.5,81.5,5.7,24.9,189.4
III,Pampanga,Arayat,2019-08-13,23.7,35.7,78.2,0.0,25.3,206.8
III,Pampanga,Arayat,2019-08-14,23.5,33.4,82.0,27.5,24.8,172.2
III,Pampanga,Arayat,2019-08-15,24.7,32.7,84.5,19.4,25.6,183.3
III,Pampanga,Arayat,2019-08-16,23.1,30.8,86.6,43.9,24.3,171.2
III,Pampanga,Arayat,2019-08-17,23.2,33.7,84.8,0.0,25.4,188.3
III,Pampanga,Arayat,2019-08-18,24.1,32.5,91.8,2.9,26.7,189.4
III,Pampanga,Arayat,2019-08-19,24.3,33.1,88.9,0.0,26.5,188.1
III,Pampanga,Arayat,2019-08-20,23.3,32.6,87.7,1.5,25.5,204.4
III,Pampanga,Arayat,2019-08-21,,33.4,78.0,0.4,23.6,182.9
III,Pampanga,Arayat,2019-08-22,,32.9,85.0,6.1,24.2,199.9
III,Pampanga,Arayat,2019-08-23,,32.8,79.7,0.0,23.8,192.7
III,Pampanga,Arayat,2019-08-24,24.1,32.3,83.2,3.6,24.8,186.8
III,Pampanga,Arayat,2019-08-25,23.5,33.7,84.0,2.5,25.4,185.4
III,Pampanga,Arayat,2019-08-26,24.0,34.1,83.1,76.5,25.7,146.5
III,Pampanga,Arayat,2019-08-27,24.3,34.6,80.0,1.9,25.5,188.8
III,Pampanga,Arayat,2019-08-28,23.5,32.6,80.8,19.6,24.2,184.1
III,Pampanga,Arayat,2019-08-29,23.8,32.7,78.8,3.0,24.0,188.3
III,Pampanga,Arayat,2019-08-30,23.3,33.1,82.0,2.3,24.6,195.3
III,Pampanga,Arayat,2019-08-31,23.3,30.4,82.4,13.3,23.3,186.0
III,Pampanga,Arayat,2019-09-01,23.2,28.6,82.9,19.7,22.5,187.6
III,Pampanga,Arayat,2019-09-02,23.7,31.7,85.6,2.1,24.8,202.6
III,Pampanga,Arayat,2019-09-03,24.5,,85.2,6.1,25.2,195.1
III,Pampanga,Arayat,2019-09-04,25.0,,83.6,1.6,25.0,193.9
III,Pampanga,Arayat,2019-09-05,24.7,,84.4,45.9,25.0,170.8
III,Pampanga,Arayat,2019-09-06,25.2,,83.7,4.3,26.3,198.6
III,Pampanga,Arayat,2019-09-07,24.8,33.5,80.3,16.0,25.2,175.2
III,Pampanga,Arayat,2019-09-08,,32.5,81.0,,24.3,192.1
III,Pampanga,Arayat,2019-09-09,,34.2,86.8,,25.9,203.7
III,Pampanga,Arayat,2019-09-10,,34.2,85.4,5.5,26.2,196.4
III,Pampanga,Arayat,2019-09-11,,33.7,82.0,0.6,25.0,203.3
III,Pampanga,Arayat,2019-09-12,22.9,33.1,84.9,10.1,25.0,187.5
III,Pampanga,Arayat,2019-09-13,24.5,33.2,83.2,0.0,25.5,193.3
III,Pampanga,Arayat,2019-09-14,24.4,32.6,87.2,15.6,25.9,178.0
III,Pampanga,Arayat,2019-09-15,25.0,33.8,87.8,10.9,27.0,182.2
III,Pampanga,Arayat,2019-09-16,24.3,34.3,87.6,4.3,26.8,209.9
III,Pampanga,Arayat,2019-09-17,23.2,33.4,85.1,15.6,25.3,172.1
III,Pampanga,Arayat,2019-09-18,22.7,32.5,87.4,4.5,25.1,191.6
III,Pampanga,Arayat,2019-09-19,23.8,32.5,82.7,0.0,24.7,198.5
III,Pampanga,Arayat,2019-09-20,22.9,30.4,84.2,12.8,23.5,190.9
III,Pampanga,Arayat,2019-09-21,22.9,29.6,82.7,13.0,22.8,180.2
III,Pampanga,Arayat,2019-09-22,22.8,31.7,80.0,0.0,23.2,200.5
III,Pampanga,Arayat,2019-09-23,23.8,32.8,78.3,0.0,24.0,182.4
III,Pampanga,Arayat,2019-09-24,23.2,32.8,78.1,0.0,23.6,188.9
III,Pampanga,Arayat,2019-09-25,22.2,32.5,86.4,4.0,24.6,192.2
III,Pampanga,Arayat,2019-09-26,22.8,33.2,83.1,0.0,24.6,204.3
III,Pampanga,Arayat,2019-09-27,23.6,33.9,87.1,5.5,26.2,204.6
III,Pampanga,Arayat,2019-09-28,23.7,33.2,80.0,0.0,24.5,191.2
III,Pampanga,Arayat,2019-09-29,23.0,31.7,83.5,0.0,24.0,194.6
III,Pampanga,Arayat,2019-09-30,22.3,32.3,85.8,0.0,24.5,192.4
III,Pampanga,Arayat,2019-10-01,22.8,32.5,85.7,0.0,24.8,208.3
III,Pampanga,Arayat,2019-10-02,23.5,31.5,89.7,2.7,25.4,190.5
III,Pampanga,Arayat,2019-10-03,23.5,31.6,,18.8,25.1,175.8
III,Pampanga,Arayat,2019-10-04,23.9,30.8,,13.5,25.5,187.2
III,Pampanga,Arayat,2019-10-05,24.1,29.9,,9.4,23.8,202.6
III,Pampanga,Arayat,2019-10-06,24.8,30.8,,13.2,24.4,189.7
III,Pampanga,Arayat,2019-10-07,23.4,30.4,81.1,17.8,23.1,181.5
III,Pampanga,Arayat,2019-10-08,23.4,33.5,74.7,0.0,23.4,193.9
III,Pampanga,Arayat,2019-10-09,23.0,34.6,78.6,6.5,24.5,206.7
III,Pampanga,Arayat,2019-10-10,23.2,34.2,83.2,8.8,25.3,185.9
III,Pampanga,Arayat,2019-10-11,22.9,34.2,78.5,12.3,24.2,184.7
III,Pampanga,Arayat,2019-10-12,22.0,34.4,82.0,15.8,24.6,192.7
III,Pampanga,Arayat,2019-10-13,22.2,35.2,77.9,0.0,24.3,205.1
III,Pampanga,Arayat,2019-10-14,21.7,33.6,83.3,22.4,24.3,180.7
III,Pampanga,Arayat,2019-10-15,21.8,32.5,84.8,9.7,24.1,194.3
III,Pampanga,Arayat,2019-10-16,23.7,32.3,77.8,0.0,23.6,203.3
III,Pampanga,Arayat,2019-10-17,24.1,31.4,80.2,6.0,23.8,187.6
III,Pampanga,Arayat,2019-10-18,24.0,31.9,81.4,2.2,24.2,199.9
III,Pampanga,Arayat,2019-10-19,23.4,32.3,80.0,2.9,23.8,210.3
III,Pampanga,Arayat,2019-10-20,23.9,32.4,81.0,14.0,24.3,184.7
III,Pampanga,Arayat,2019-10-21,23.7,32.6,75.0,0.0,23.2,224.4
III,Pampanga,Arayat,2019-10-22,23.4,33.2,81.8,4.8,24.7,198.7
III,Pampanga,Arayat,2019-10-23,23.8,32.9,77.5,0.0,23.8,200.8
III,Pampanga,Arayat,2019-10-24,24.7,34.5,79.4,0.0,25.5,188.2
III,Pampanga,Arayat,2019-10-25,24.5,33.3,79.9,0.0,24.9,208.7
III,Pampanga,Arayat,2019-10-26,24.1,32.3,80.3,0.0,24.3,197.2
III,Pampanga,Arayat,2019-10-27,,30.2,80.8,0.0,23.0,212.8
III,Pampanga,Arayat,2019-10-28,,29.8,82.5,21.4,23.0,183.8
III,Pampanga,Arayat,2019-10-29,,32.7,78.6,0.0,23.5,211.9
III,Pampanga,Arayat,2019-10-30,,34.2,83.6,1.1,24.9,201.3
III,Pampanga,Arayat,2019-10-31,22.4,35.2,76.4,0.0,24.1,205.0
III,Pampanga,Arayat,2019-11-01,23.6,34.8,79.6,0.0,25.1,196.7
III,Pampanga,Arayat,2019-11-02,22.9,35.3,79.7,4.2,25.0,204.9
III,Pampanga,Arayat,2019-11-03,22.9,34.0,77.0,0.0,23.8,216.2
III,Pampanga,Arayat,2019-11-04,22.7,33.1,77.5,0.0,23.4,199.6
III,Pampanga,Arayat,2019-11-05,22.7,32.9,75.4,0.0,22.9,208.5
III,Pampanga,Arayat,2019-11-06,22.5,33.9,76.6,0.0,23.5,209.8
III,Pampanga,Arayat,2019-11-07,23.1,33.8,78.1,0.0,24.1,200.0
III,Pampanga,Arayat,2019-11-08,23.1,32.1,87.0,3.1,25.0,197.7
III,Pampanga,Arayat,2019-11-09,23.0,32.5,85.3,4.1,24.8,198.7
III,Pampanga,Arayat,2019-11-10,23.9,31.8,81.7,0.0,24.2,194.9
III,Pampanga,Arayat,2019-11-11,22.8,30.6,82.9,11.2,23.3,189.7
III,Pampanga,Arayat,2019-11-12,24.2,31.8,82.9,3.5,24.6,193.4
III,Pampanga,Arayat,2019-11-13,24.1,32.8,81.2,4.1,24.7,197.4
III,Pampanga,Arayat,2019-11-14,23.6,32.5,82.3,23.8,24.5,184.3
III,Pampanga,Arayat,2019-11-15,23.7,33.8,76.8,0.0,24.1,206.8
III,Pampanga,Arayat,2019-11-16,24.1,33.2,78.3,0.0,24.3,215.1
