Region,Province,Municipality,Date,Rice_Growth_Stage,BPH_Hoppers_per_Hill,RSB_Dead_Hearts_Pct,RSB_White_Ears_Pct
III,Pampanga,Arayat,2019-01-26,Elongation,1.0,,0.05
III,Pampanga,Arayat,2019-01-27,Elongation,3.0,,0.08
III,Pampanga,Arayat,2019-01-28,Elongation,2.0,4.85,0.15
III,Pampanga,Arayat,2019-01-29,Elongation,1.0,6.33,0.0
III,Pampanga,Arayat,2019-01-30,Elongation,0.0,5.16,0.14
III,Pampanga,Arayat,2019-01-31,Elongation,0.0,6.75,0.17
III,Pampanga,Arayat,2019-02-01,Elongation,2.0,5.18,0.05
III,Pampanga,Arayat,2019-02-02,Elongation,2.0,4.25,0.07
III,Pampanga,Arayat,2019-02-03,Elongation,2.0,,0.02
III,Pampanga,Arayat,2019-02-04,Elongation,2.0,,0.1
III,Pampanga,Arayat,2019-02-05,Elongation,6.0,,0.12
III,Pampanga,Arayat,2019-02-06,Panicle,2.0,,7.44
III,Pampanga,Arayat,2019-02-07,Panicle,2.0,0.11,
III,Pampanga,Arayat,2019-02-08,Panicle,2.0,0.18,
III,Pampanga,Arayat,2019-02-09,Panicle,2.0,0.05,
III,Pampanga,Arayat,2019-02-10,Panicle,1.0,0.22,5.1
III,Pampanga,Arayat,2019-02-11,Panicle,2.0,0.14,3.07
III,Pampanga,Arayat,2019-02-12,Panicle,1.0,0.1,2.64
III,Pampanga,Arayat,2019-02-13,Panicle,3.0,0.33,2.94
III,Pampanga,Arayat,2019-02-14,Panicle,2.0,0.11,4.27
III,Pampanga,Arayat,2019-02-15,Panicle,2.0,0.13,3.97
III,Pampanga,Arayat,2019-02-16,Panicle,2.0,0.18,5.11
III,Pampanga,Arayat,2019-02-17,Panicle,1.0,0.07,4.06
III,Pampanga,Arayat,2019-02-18,Panicle,0.0,0.09,4.49
III,Pampanga,Arayat,2019-02-19,Panicle,0.0,0.06,3.91
III,Pampanga,Arayat,2019-02-20,Panicle,0.0,0.1,1.13
III,Pampanga,Arayat,2019-02-21,Panicle,2.0,0.0,0.74
III,Pampanga,Arayat,2019-02-22,Flowering,0.0,0.12,0.91
III,Pampanga,Arayat,2019-02-23,Flowering,1.0,0.15,0.19
III,Pampanga,Arayat,2019-02-24,Flowering,0.0,0.04,0.45
III,Pampanga,Arayat,2019-02-25,Flowering,1.0,0.0,1.88
III,Pampanga,Arayat,2019-02-26,Flowering,1.0,0.04,1.87
III,Pampanga,Arayat,2019-02-27,Flowering,3.0,0.05,0.73
III,Pampanga,Arayat,2019-02-28,Flowering,2.0,0.1,0.58
III,Pampanga,Arayat,2019-03-01,Flowering,1.0,0.07,0.0
III,Pampanga,Arayat,2019-03-02,Flowering,1.0,0.06,0.36
III,Pampanga,Arayat,2019-03-03,Flowering,0.0,0.01,0.99
III,Pampanga,Arayat,2019-03-04,Flowering,1.0,0.08,0.47
III,Pampanga,Arayat,2019-03-05,Flowering,1.0,,0.35
III,Pampanga,Arayat,2019-03-06,Flowering,0.0,,2.19
III,Pampanga,Arayat,2019-03-07,Flowering,1.0,,1.07
III,Pampanga,Arayat,2019-03-08,Flowering,2.0,,0.0
III,Pampanga,Arayat,2019-03-09,Ripening,0.0,0.15,1.35
III,Pampanga,Arayat,2019-03-10,Ripening,2.0,0.11,0.0
III,Pampanga,Arayat,2019-03-11,Ripening,0.0,0.19,0.0
III,Pampanga,Arayat,2019-03-12,Ripening,0.0,0.05,0.0
III,Pampanga,Arayat,2019-03-13,Ripening,1.0,0.06,1.21
III,Pampanga,Arayat,2019-03-14,Ripening,0.0,0.0,0.31
III,Pampanga,Arayat,2019-03-15,Ripening,2.0,0.18,0.78
III,Pampanga,Arayat,2019-03-16,Ripening,0.0,0.13,0.0
III,Pampanga,Arayat,2019-03-17,Ripening,1.0,0.11,1.1
III,Pampanga,Arayat,2019-03-18,Ripening,1.0,0.1,0.0
III,Pampanga,Arayat,2019-03-19,Ripening,0.0,0.1,0.0
III,Pampanga,Arayat,2019-03-20,Ripening,0.0,0.09,0.0
III,Pampanga,Arayat,2019-03-21,Ripening,0.0,0.11,0.45
III,Pampanga,Arayat,2019-03-22,Ripening,0.0,0.09,1.34
III,Pampanga,Arayat,2019-03-23,Ripening,2.0,0.18,1.38
III,Pampanga,Arayat,2019-03-24,Ripening,4.0,0.0,1.93
III,Pampanga,Arayat,2019-03-25,Ripening,1.0,0.07,0.59
III,Pampanga,Arayat,2019-03-26,Ripening,8.0,0.08,1.51
III,Pampanga,Arayat,2019-03-27,Ripening,5.0,0.15,3.01
III,Pampanga,Arayat,2019-03-28,Ripening,2.0,0.08,3.93
III,Pampanga,Arayat,2019-03-29,Ripening,6.0,0.12,3.83
III,Pampanga,Arayat,2019-03-30,Ripening,8.0,0.15,3.68
III,Pampanga,Arayat,2019-03-31,Ripening,10.0,0.16,4.41
III,Pampanga,Arayat,2019-04-01,Ripening,8.0,0.09,2.86
III,Pampanga,Arayat,2019-04-02,Ripening,4.0,0.03,3.9
III,Pampanga,Arayat,2019-04-03,Ripening,11.0,0.06,4.68
III,Pampanga,Arayat,2019-04-04,Ripening,0.0,0.06,0.13
III,Pampanga,Arayat,2019-04-05,Ripening,0.0,0.1,0.0
III,Pampanga,Arayat,2019-04-06,Ripening,0.0,0.23,0.19
III,Pampanga,Arayat,2019-04-07,Ripening,0.0,0.05,0.01
III,Pampanga,Arayat,2019-04-08,Ripening,0.0,0.08,0.0
III,Pampanga,Arayat,2019-04-09,Ripening,0.0,0.0,0.03
III,Pampanga,Arayat,2019-04-10,Ripening,0.0,0.02,0.08
III,Pampanga,Arayat,2019-04-11,Ripening,0.0,0.0,0.07
III,Pampanga,Arayat,2019-04-12,Ripening,0.0,0.04,0.13
III,Pampanga,Arayat,2019-04-13,Ripening,0.0,0.0,0.04
III,Pampanga,Arayat,2019-04-14,Ripening,0.0,0.04,0.0
III,Pampanga,Arayat,2019-04-15,Ripening,0.0,0.16,0.14
III,Pampanga,Arayat,2019-04-16,Ripening,0.0,0.08,0.07
III,Pampanga,Arayat,2019-04-17,Ripening,0.0,0.11,0.01
III,Pampanga,Arayat,2019-04-18,Ripening,0.0,0.0,0.21
III,Pampanga,Arayat,2019-04-19,Ripening,0.0,0.15,0.09
III,Pampanga,Arayat,2019-04-20,Ripening,1.0,0.1,0.1
III,Pampanga,Arayat,2019-04-21,Ripening,0.0,0.02,0.09
III,Pampanga,Arayat,2019-04-22,Ripening,0.0,0.21,0.0
III,Pampanga,Arayat,2019-04-23,Ripening,0.0,0.17,0.08
III,Pampanga,Arayat,2019-04-24,Ripening,0.0,0.24,0.06
III,Pampanga,Arayat,2019-04-25,Ripening,0.0,0.15,0.1
III,Pampanga,Arayat,2019-04-26,Ripening,0.0,0.22,0.0
III,Pampanga,Arayat,2019-04-27,Ripening,0.0,0.03,0.14
III,Pampanga,Arayat,2019-04-28,Ripening,0.0,0.2,0.01
III,Pampanga,Arayat,2019-04-29,Ripening,0.0,0.05,0.09
III,Pampanga,Arayat,2019-04-30,Ripening,0.0,0.2,0.0
III,Pampanga,Arayat,2019-05-01,Ripening,0.0,0.11,0.0
III,Pampanga,Arayat,2019-05-02,Ripening,0.0,0.04,0.25
III,Pampanga,Arayat,2019-05-03,Ripening,1.0,0.03,0.0
III,Pampanga,Arayat,2019-05-04,Seedling,0.0,0.12,0.01
III,Pampanga,Arayat,2019-05-05,Seedling,0.0,0.0,0.11
III,Pampanga,Arayat,2019-05-06,seedling,0.0,0.0,
III,Pampanga,Arayat,2019-05-07,Seedling,0.0,0.01,
III,Pampanga,Arayat,2019-05-08,Seedling,0.0,0.0,
III,Pampanga,Arayat,2019-05-09,Seedling,0.0,0.15,0.07
III,Pampanga,Arayat,2019-05-10,Seedling,0.0,0.21,
III,Pampanga,Arayat,2019-05-11,Seedling,0.0,0.13,
III,Pampanga,Arayat,2019-05-12,Seedling,0.0,0.0,
III,Pampanga,Arayat,2019-05-13,Seedling,0.0,0.06,0.12
III,Pampanga,Arayat,2019-05-14,Seedling,0.0,0.0,0.04
III,Pampanga,Arayat,2019-05-15,Seedling,0.0,0.14,0.0
III,Pampanga,Arayat,2019-05-16,Seedling,0.0,0.04,0.02
III,Pampanga,Arayat,2019-05-17,Seedling,0.0,0.01,0.0
III,Pampanga,Arayat,2019-05-18,Seedling,0.0,0.01,0.17
III,Pampanga,Arayat,2019-05-19,Seedling,0.0,0.08,0.16
III,Pampanga,Arayat,2019-05-20,Seedling,0.0,0.04,0.16
III,Pampanga,Arayat,2019-05-21,Seedling,0.0,0.06,0.18
III,Pampanga,Arayat,2019-05-22,Seedling,0.0,0.12,0.11
III,Pampanga,Arayat,2019-05-23,Seedling,0.0,0.0,0.16
III,Pampanga,Arayat,2019-05-24,Seedling,0.0,0.09,0.23
III,Pampanga,Arayat,2019-05-25,Seedling,0.0,0.18,0.19
III,Pampanga,Arayat,2019-05-26,Seedling,0.0,0.18,0.08
III,Pampanga,Arayat,2019-05-27,Seedling,0.0,0.15,0.18
III,Pampanga,Arayat,2019-05-28,Seedling,0.0,0.11,0.0
III,Pampanga,Arayat,2019-05-29,Seedling,0.0,0.17,0.0
III,Pampanga,Arayat,2019-05-30,Seedling,0.0,0.0,0.0
III,Pampanga,Arayat,2019-05-31,Seedling,0.0,0.05,0.17
III,Pampanga,Arayat,2019-06-01,Seedling,0.0,0.1,0.14
III,Pampanga,Arayat,2019-06-02,Seedling,0.0,0.11,0.2
III,Pampanga,Arayat,2019-06-03,Seedling,10.0,2.08,0.09
III,Pampanga,Arayat,2019-06-04,Seedling,3.0,1.96,0.14
III,Pampanga,Arayat,2019-06-05,Seedling,9.0,0.0,0.12
III,Pampanga,Arayat,2019-06-06,Seedling,6.0,0.03,0.04
III,Pampanga,Arayat,2019-06-07,Seedling,11.0,0.89,0.19
III,Pampanga,Arayat,2019-06-08,Seedling,11.0,0.0,0.08
III,Pampanga,Arayat,2019-06-09,Seedling,14.0,0.79,0.01
III,Pampanga,Arayat,2019-06-10,Seedling,15.0,0.67,0.0
III,Pampanga,Arayat,2019-06-11,Seedling,12.0,1.02,0.2
III,Pampanga,Arayat,2019-06-12,Seedling,13.0,0.5,0.2
III,Pampanga,Arayat,2019-06-13,Seedling,25.0,0.21,0.1
III,Pampanga,Arayat,2019-06-14,Seedling,23.0,0.23,0.02
III,Pampanga,Arayat,2019-06-15,Seedling,23.0,0.68,0.1
III,Pampanga,Arayat,2019-06-16,Seedling,18.0,0.0,0.05
III,Pampanga,Arayat,2019-06-17,Seedling,15.0,0.69,0.01
III,Pampanga,Arayat,2019-06-18,Tillering,37.0,0.69,0.09
III,Pampanga,Arayat,2019-06-19,Tillering,31.0,0.28,0.28
III,Pampanga,Arayat,2019-06-20,Tillering,30.0,0.39,0.05
III,Pampanga,Arayat,2019-06-21,Tillering,22.0,0.51,0.13
III,Pampanga,Arayat,2019-06-22,Tillering,27.0,0.41,0.14
III,Pampanga,Arayat,2019-06-23,Tillering,19.0,0.51,0.06
III,Pampanga,Arayat,2019-06-24,Tillering,16.0,0.81,0.08
III,Pampanga,Arayat,2019-06-25,Tillering,21.0,0.32,0.04
III,Pampanga,Arayat,2019-06-26,Tillering,7.0,0.0,0.0
III,Pampanga,Arayat,2019-06-27,Tillering,8.0,0.82,0.15
III,Pampanga,Arayat,2019-06-28,Tillering,4.0,0.04,0.15
III,Pampanga,Arayat,2019-06-29,Tillering,4.0,0.35,0.0
III,Pampanga,Arayat,2019-06-30,Tillering,3.0,0.35,
III,Pampanga,Arayat,2019-07-01,Tillering,1.0,0.58,
III,Pampanga,Arayat,2019-07-02,Tillering,2.0,0.0,
III,Pampanga,Arayat,2019-07-03,Tillering,3.0,1.45,
III,Pampanga,Arayat,2019-07-04,Tillering,4.0,0.21,
III,Pampanga,Arayat,2019-07-05,Tillering,2.0,0.6,0.01
III,Pampanga,Arayat,2019-07-06,Tillering,2.0,0.27,0.0
III,Pampanga,Arayat,2019-07-07,Tillering,1.0,0.26,0.16
III,Pampanga,Arayat,2019-07-08,Tillering,2.0,0.62,0.11
III,Pampanga,Arayat,2019-07-09,Tillering,2.0,1.37,0.03
III,Pampanga,Arayat,2019-07-10,Tillering,4.0,1.47,
III,Pampanga,Arayat,2019-07-11,Tillering,1.0,0.51,
III,Pampanga,Arayat,2019-07-12,Elongation,2.0,3.71,
III,Pampanga,Arayat,2019-07-13,Elongation,3.0,3.28,
III,Pampanga,Arayat,2019-07-14,Elongation,4.0,4.39,
III,Pampanga,Arayat,2019-07-15,Elongation,4.0,3.99,0.13
III,Pampanga,Arayat,2019-07-16,Elongation,5.0,3.51,0.1
III,Pampanga,Arayat,2019-07-17,Elongation,0.0,3.04,0.0
III,Pampanga,Arayat,2019-07-18,Elongation,2.0,1.61,0.0
III,Pampanga,Arayat,2019-07-19,Elongation,3.0,0.69,0.06
III,Pampanga,Arayat,2019-07-20,Elongation,1.0,1.1,0.04
III,Pampanga,Arayat,2019-07-21,Elongation,1.0,0.29,0.06
III,Pampanga,Arayat,2019-07-22,Elongation,3.0,0.0,0.22
III,Pampanga,Arayat,2019-07-23,Elongation,2.0,0.94,0.09
III,Pampanga,Arayat,2019-07-24,Elongation,5.0,0.36,0.1
III,Pampanga,Arayat,2019-07-25,Elongation,4.0,0.75,0.08
III,Pampanga,Arayat,2019-07-26,Elongation,6.0,1.3,0.13
III,Pampanga,Arayat,2019-07-27,Elongation,10.0,0.16,0.04
III,Pampanga,Arayat,2019-07-28,Elongation,9.0,0.77,0.06
III,Pampanga,Arayat,2019-07-29,Elongation,9.0,0.0,0.15
III,Pampanga,Arayat,2019-07-30,Elongation,7.0,0.13,0.16
III,Pampanga,Arayat,2019-07-31,Panicle,5.0,0.17,1.55
III,Pampanga,Arayat,2019-08-01,Panicle,6.0,0.18,3.18
III,Pampanga,Arayat,2019-08-02,Panicle,4.0,0.1,2.82
III,Pampanga,Arayat,2019-08-03,Panicle,7.0,0.19,5.37
III,Pampanga,Arayat,2019-08-04,Panicle,15.0,0.12,4.24
III,Pampanga,Arayat,2019-08-05,Panicle,16.0,0.07,5.63
III,Pampanga,Arayat,2019-08-06,Panicle,15.0,0.01,7.18
III,Pampanga,Arayat,2019-08-07,Panicle,21.0,0.0,9.6
III,Pampanga,Arayat,2019-08-08,Panicle,15.0,0.11,10.39
III,Pampanga,Arayat,2019-08-09,Panicle,21.0,0.0,12.47
III,Pampanga,Arayat,2019-08-10,Panicle,6.0,0.0,12.48
III,Pampanga,Arayat,2019-08-11,Panicle,13.0,0.09,12.25
III,Pampanga,Arayat,2019-08-12,Panicle,16.0,0.0,12.59
III,Pampanga,Arayat,2019-08-13,Panicle,8.0,0.1,12.58
III,Pampanga,Arayat,2019-08-14,Panicle,13.0,0.06,14.42
III,Pampanga,Arayat,2019-08-15,Flowering,10.0,0.22,6.73
III,Pampanga,Arayat,2019-08-16,Flowering,18.0,0.06,6.93
III,Pampanga,Arayat,2019-08-17,Flowering,15.0,0.12,5.29
III,Pampanga,Arayat,2019-08-18,Flowering,19.0,0.07,5.45
III,Pampanga,Arayat,2019-08-19,Flowering,18.0,0.11,5.27
III,Pampanga,Arayat,2019-08-20,Flowering,25.0,0.0,3.39
III,Pampanga,Arayat,2019-08-21,Flowering,11.0,0.06,3.7
III,Pampanga,Arayat,2019-08-22,Flowering,9.0,0.12,2.89
III,Pampanga,Arayat,2019-08-23,Flowering,5.0,0.15,2.82
III,Pampanga,Arayat,2019-08-24,Flowering,6.0,0.21,2.43
III,Pampanga,Arayat,2019-08-25,Flowering,15.0,0.09,1.23
III,Pampanga,Arayat,2019-08-26,Flowering,15.0,0.22,1.63
III,Pampanga,Arayat,2019-08-27,Flowering,11.0,0.04,0.42
III,Pampanga,Arayat,2019-08-28,Flowering,10.0,0.11,1.11
III,Pampanga,Arayat,2019-08-29,Ripening,5.0,0.15,0.02
III,Pampanga,Arayat,2019-08-30,Ripening,4.0,0.03,0.0
III,Pampanga,Arayat,2019-08-31,Ripening,4.0,0.02,0.0
III,Pampanga,Arayat,2019-09-01,Ripening,4.0,0.14,0.0
III,Pampanga,Arayat,2019-09-02,Ripening,1.0,0.16,0.81
III,Pampanga,Arayat,2019-09-03,Ripening,2.0,0.1,0.0
III,Pampanga,Arayat,2019-09-04,Ripening,1.0,0.06,2.01
III,Pampanga,Arayat,2019-09-05,Ripening,0.0,0.09,0.77
III,Pampanga,Arayat,2019-09-06,Ripening,7.0,0.01,0.0
III,Pampanga,Arayat,2019-09-07,Ripening,2.0,0.0,0.34
III,Pampanga,Arayat,2019-09-08,Ripening,0.0,0.1,0.83
III,Pampanga,Arayat,2019-09-09,Ripening,1.0,0.18,0.53
III,Pampanga,Arayat,2019-09-10,Ripening,0.0,0.18,1.01
III,Pampanga,Arayat,2019-09-11,Ripening,5.0,0.2,0.43
III,Pampanga,Arayat,2019-09-12,Ripening,1.0,0.21,0.54
III,Pampanga,Arayat,2019-09-13,Ripening,7.0,0.09,0.04
III,Pampanga,Arayat,2019-09-14,Ripening,3.0,0.0,0.0
III,Pampanga,Arayat,2019-09-15,Ripening,4.0,0.01,0.0
III,Pampanga,Arayat,2019-09-16,Ripening,7.0,0.01,0.7
III,Pampanga,Arayat,2019-09-17,Ripening,7.0,0.09,1.18
III,Pampanga,Arayat,2019-09-18,Ripening,5.0,0.04,0.85
III,Pampanga,Arayat,2019-09-19,Ripening,4.0,0.01,2.86
III,Pampanga,Arayat,2019-09-20,Ripening,4.0,0.1,0.32
III,Pampanga,Arayat,2019-09-21,Ripening,3.0,0.01,0.44
III,Pampanga,Arayat,2019-09-22,Ripening,0.0,0.04,0.1
III,Pampanga,Arayat,2019-09-23,Ripening,0.0,0.27,0.11
III,Pampanga,Arayat,2019-09-24,Ripening,0.0,0.04,0.0
III,Pampanga,Arayat,2019-09-25,Ripening,0.0,0.15,0.15
III,Pampanga,Arayat,2019-09-26,Ripening,0.0,0.01,0.17
III,Pampanga,Arayat,2019-09-27,Ripening,0.0,0.38,0.07
III,Pampanga,Arayat,2019-09-28,Ripening,0.0,0.13,0.0
III,Pampanga,Arayat,2019-09-29,Ripening,0.0,0.17,0.11
III,Pampanga,Arayat,2019-09-30,Ripening,0.0,0.12,0.0
III,Pampanga,Arayat,2019-10-01,Ripening,0.0,0.02,0.15
III,Pampanga,Arayat,2019-10-02,Ripening,0.0,0.13,0.1
III,Pampanga,Arayat,2019-10-03,Ripening,0.0,0.24,0.15
III,Pampanga,Arayat,2019-10-04,Ripening,0.0,0.06,0.0
III,Pampanga,Arayat,2019-10-05,Ripening,0.0,0.07,0.0
III,Pampanga,Arayat,2019-10-06,Ripening,0.0,0.31,0.09
III,Pampanga,Arayat,2019-10-07,Ripening,0.0,0.15,0.06
III,Pampanga,Arayat,2019-10-08,Ripening,0.0,0.04,0.1
III,Pampanga,Arayat,2019-10-09,Ripening,0.0,0.09,0.14
III,Pampanga,Arayat,2019-10-10,Ripening,0.0,0.0,0.08
III,Pampanga,Arayat,2019-10-11,Ripening,0.0,0.09,0.0
III,Pampanga,Arayat,2019-10-12,Ripening,0.0,0.13,0.14
III,Pampanga,Arayat,2019-10-13,Ripening,0.0,0.13,0.25
III,Pampanga,Arayat,2019-10-14,Ripening,0.0,0.23,0.11
III,Pampanga,Arayat,2019-10-15,Ripening,0.0,0.06,0.15
III,Pampanga,Arayat,2019-10-16,Ripening,0.0,0.13,0.0
III,Pampanga,Arayat,2019-10-17,Ripening,0.0,0.0,0.1
III,Pampanga,Arayat,2019-10-18,Ripening,0.0,0.06,0.06
III,Pampanga,Arayat,2019-10-19,Ripening,0.0,0.0,0.23
III,Pampanga,Arayat,2019-10-20,Ripening,0.0,0.0,0.03
III,Pampanga,Arayat,2019-10-21,Ripening,0.0,0.09,0.0
III,Pampanga,Arayat,2019-10-22,Ripening,0.0,0.1,0.08
III,Pampanga,Arayat,2019-10-23,Ripening,0.0,0.11,0.06
III,Pampanga,Arayat,2019-10-24,Ripening,0.0,0.0,0.15
III,Pampanga,Arayat,2019-10-25,Ripening,0.0,0.04,0.11
III,Pampanga,Arayat,2019-10-26,Ripening,0.0,0.26,0.03
III,Pampanga,Arayat,2019-10-27,Ripening,0.0,0.0,0.17
III,Pampanga,Arayat,2019-10-28,Ripening,0.0,0.15,0.22
III,Pampanga,Arayat,2019-10-29,Ripening,0.0,0.0,0.12
III,Pampanga,Arayat,2019-10-30,Seedling,0.0,0.03,0.07
III,Pampanga,Arayat,2019-10-31,Seedling,0.0,0.05,0.07
III,Pampanga,Arayat,2019-11-01,Seedling,0.0,0.01,0.09
III,Pampanga,Arayat,2019-11-02,Seedling,0.0,0.03,0.02
III,Pampanga,Arayat,2019-11-03,Seedling,0.0,0.03,0.06
III,Pampanga,Arayat,2019-11-04,Seedling,0.0,0.15,0.13
III,Pampanga,Arayat,2019-11-05,Seedling,0.0,0.16,0.09
III,Pampanga,Arayat,2019-11-06,Seedling,0.0,0.05,0.0
III,Pampanga,Arayat,2019-11-07,Seedling,0.0,0.13,0.06
III,Pampanga,Arayat,2019-11-08,Seedling,0.0,0.01,0.18
III,Pampanga,Arayat,2019-11-09,Seedling,0.0,0.08,0.02
III,Pampanga,Arayat,2019-11-10,Seedling,0.0,0.08,0.17
III,Pampanga,Arayat,2019-11-11,Seedling,0.0,0.1,0.02
III,Pampanga,Arayat,2019-11-12,Seedling,0.0,0.09,0.0
III,Pampanga,Arayat,2019-11-13,Seedling,0.0,0.07,0.04
III,Pampanga,Arayat,2019-11-14,Seedling,0.0,0.03,0.11
III,Pampanga,Arayat,2019-11-15,Seedling,1.0,0.25,0.07
III,Pampanga,Arayat,2019-11-16,Seedling,0.0,0.03,0.07
III,Pampanga,Arayat,2019-11-17,Seedling,0.0,0.0,0.19
III,Pampanga,Arayat,2019-11-18,Seedling,0.0,0.07,0.11
III,Pampanga,Arayat,2019-11-19,Seedling,0.0,0.08,0.02
III,Pampanga,Arayat,2019-11-20,Seedling,0.0,0.0,0.07
III,Pampanga,Arayat,2019-11-21,Seedling,0.0,0.06,0.07
III,Pampanga,Arayat,2019-11-22,Seedling,0.0,0.11,0.09
III,Pampanga,Arayat,2019-11-23,Seedling,0.0,0.02,0.0
III,Pampanga,Arayat,2019-11-24,Seedling,0.0,0.18,0.1
III,Pampanga,Arayat,2019-11-25,Seedling,0.0,0.0,0.15
III,Pampanga,Arayat,2019-11-26,Seedling,0.0,0.13,0.0
III,Pampanga,Arayat,2019-11-27,Seedling,0.0,0.07,0.09
III,Pampanga,Arayat,2019-11-28,Seedling,0.0,0.16,0.04
III,Pampanga,Arayat,2019-11-29,Seedling,0.0,0.06,0.0
III,Pampanga,Arayat,2019-11-30,Seedling,0.0,0.12,0.1
III,Pampanga,Arayat,2019-12-01,Seedling,0.0,0.05,0.09
III,Pampanga,Arayat,2019-12-02,Seedling,0.0,0.15,0.0
III,Pampanga,Arayat,2019-12-03,Seedling,0.0,0.0,0.12
III,Pampanga,Arayat,2019-12-04,Seedling,0.0,0.07,0.06
III,Pampanga,Arayat,2019-12-05,Seedling,0.0,0.13,0.0
III,Pampanga,Arayat,2019-12-06,Seedling,0.0,0.0,0.09
III,Pampanga,Arayat,2019-12-07,Seedling,1.0,0.22,0.08
III,Pampanga,Arayat,2019-12-08,Seedling,1.0,0.0,0.07
III,Pampanga,Arayat,2019-12-09,Seedling,1.0,0.55,0.17
III,Pampanga,Arayat,2019-12-10,Seedling,1.0,0.08,0.12
III,Pampanga,Arayat,2019-12-11,Seedling,1.0,0.05,0.06
III,Pampanga,Arayat,2019-12-12,Seedling,0.0,0.63,0.0
III,Pampanga,Arayat,2019-12-13,Seedling,2.0,0.36,0.15
III,Pampanga,Arayat,2019-12-14,Seedling,2.0,0.46,0.2
III,Pampanga,Arayat,2019-12-15,Seedling,1.0,0.0,0.08
III,Pampanga,Arayat,2019-12-16,Seedling,0.0,0.23,0.01
III,Pampanga,Arayat,2019-12-17,Seedling,0.0,0.85,0.17
III,Pampanga,Arayat,2019-12-18,Seedling,0.0,1.16,0.03
III,Pampanga,Arayat,2019-12-19,Seedling,2.0,0.67,0.18
III,Pampanga,Arayat,2019-12-20,Seedling,0.0,0.64,0.16
III,Pampanga,Arayat,2019-12-21,Seedling,4.0,0.0,0.0
III,Pampanga,Arayat,2019-12-22,Tillering,1.0,1.28,0.1
III,Pampanga,Arayat,2019-12-23,Tillering,0.0,0.66,0.03
III,Pampanga,Arayat,2019-12-24,Tillering,0.0,0.49,0.07
III,Pampanga,Arayat,2019-12-25,Tillering,4.0,0.29,0.11
III,Pampanga,Arayat,2019-12-26,Tillering,5.0,1.16,0.14
III,Pampanga,Arayat,2019-12-27,Tillering,0.0,0.0,0.09
III,Pampanga,Arayat,2019-12-28,Tillering,0.0,0.96,0.05
III,Pampanga,Arayat,2019-12-29,Tillering,1.0,0.87,0.04
III,Pampanga,Arayat,2019-12-30,Tillering,0.0,1.79,0.07
III,Pampanga,Arayat,2019-12-31,Tillering,1.0,1.84,0.06
III,Pampanga,Arayat,2020-01-01,Tillering,3.0,2.97,0.16
III,Pampanga,Arayat,2020-01-02,Tillering,3.0,3.17,0.15
III,Pampanga,Arayat,2020-01-03,Tillering,2.0,2.46,0.0
III,Pampanga,Arayat,2020-01-04,Tillering,4.0,3.21,0.13
III,Pampanga,Arayat,2020-01-05,Tillering,0.0,3.08,0.17
III,Pampanga,Arayat,2020-01-06,Tillering,2.0,2.44,0.16
III,Pampanga,Arayat,2020-01-07,Tillering,2.0,3.81,0.0
III,Pampanga,Arayat,2020-01-08,Tillering,1.0,2.06,0.11
III,Pampanga,Arayat,2020-01-09,Tillering,0.0,1.87,0.24
III,Pampanga,Arayat,2020-01-10,Tillering,1.0,2.16,0.21
III,Pampanga,Arayat,2020-01-11,Tillering,3.0,0.47,0.16
